import time: self [us] | cumulative | imported package
import time:       609 |        609 |                         IPython.utils.openpy
import time:       338 |        338 |                         IPython.utils.dir2
import time:       409 |        409 |                         IPython.utils.wildcard
import time:      3048 |       3048 |                           pygments.lexers._mapping
import time:       510 |        510 |                           pygments.modeline
import time:     32655 |      36212 |                         pygments.lexers
import time:       302 |        302 |                             pygments.filter
import time:      1635 |       1635 |                             pygments.filters
import time:       622 |        622 |                             pygments.regexopt
import time:       891 |       3449 |                           pygments.lexer
import time:       382 |        382 |                           pygments.unistring
import time:      1921 |       5751 |                         pygments.lexers.python
import time:       107 |        107 |                           ctags
import time:       471 |        577 |                         pygments.formatters.html
import time:      2172 |      58298 |                       IPython.core.oinspect
import time:       642 |        642 |                         IPython.utils.tokenutil
import time:      2229 |       2870 |                       IPython.core.inputtransformer2
import time:       533 |        533 |                       IPython.utils.ipstruct
import time:      1114 |      63576 |                     IPython.core.magic
import time:        89 |         89 |                       runpy
import time:      1804 |       1804 |                         IPython.external
import time:       113 |        113 |                         cPickle
import time:       518 |       2433 |                       IPython.external.pickleshare
import time:       273 |        273 |                       IPython.core.hooks
import time:       362 |        362 |                         IPython.core.autocall
import time:       434 |        434 |                         IPython.core.macro
import time:       736 |        736 |                         IPython.core.splitinput
import time:      2289 |       3820 |                       IPython.core.prefilter
import time:       728 |        728 |                       IPython.core.alias
import time:       405 |        405 |                       IPython.core.builtin_trap
import time:       840 |        840 |                           decorator
import time:      1721 |       1721 |                               _sqlite3
import time:       452 |       2173 |                             sqlite3.dbapi2
import time:      1851 |       4024 |                           sqlite3
import time:      3293 |       8156 |                         IPython.core.history
import time:       601 |       8756 |                       IPython.core.displayhook
import time:       638 |        638 |                       IPython.core.displaypub
import time:       317 |        317 |                       IPython.core.events
import time:       392 |        392 |                       IPython.core.extensions
import time:       342 |        342 |                         IPython.utils.sentinel
import time:      2615 |       2957 |                       IPython.core.formatters
import time:       346 |        346 |                       IPython.core.logger
import time:       465 |        465 |                       IPython.core.payload
import time:      2083 |       2083 |                           argcomplete.completers
import time:       244 |        244 |                           argcomplete.exceptions
import time:       246 |        246 |                             argcomplete.io
import time:       796 |        796 |                               argcomplete.packages
import time:       417 |        417 |                               argcomplete.packages._shlex
import time:       258 |       1471 |                             argcomplete.lexers
import time:       338 |        338 |                             argcomplete.packages._argparse
import time:      1230 |       3283 |                           argcomplete.finders
import time:       260 |        260 |                           argcomplete.shell_integration
